slug,name,ascii_name,province,province_name,latitude,longitude,population,feature_class,feature_code
chippawa-on,Chippawa,Chippawa,ON,Ontario,43.0571,-79.04717,6077,P,PPL
saint-felix-de-valois-qc,Saint-Félix-de-Valois,Saint-Felix-de-Valois,QC,Quebec,46.16977,-73.42525,6029,P,PPL
bay-roberts-nl,Bay Roberts,Bay Roberts,NL,Newfoundland and Labrador,47.59989,-53.26478,6012,P,PPL
beaver-bank-ns,Beaver Bank,Beaver Bank,NS,Nova Scotia,44.82484,-63.68079,6000,P,PPL
ganges-bc,Ganges,Ganges,BC,British Columbia,48.85342,-123.50032,6000,P,PPL
bonnyville-ab,Bonnyville,Bonnyville,AB,Alberta,54.26684,-110.73505,5975,P,PPL
saint-cesaire-qc,Saint-Césaire,Saint-Cesaire,QC,Quebec,45.40948,-73.00104,5972,P,PPLA3
roxboro-qc,Roxboro,Roxboro,QC,Quebec,45.50841,-73.80752,5948,P,PPL
mcmasterville-qc,McMasterville,McMasterville,QC,Quebec,45.55008,-73.26585,5936,P,PPL
douglas-nb,Douglas,Douglas,NB,New Brunswick,45.97832,-66.73108,5935,P,PPL
dunnville-on,Dunnville,Dunnville,ON,Ontario,42.90011,-79.61631,5907,P,PPL
flin-flon-mb,Flin Flon,Flin Flon,MB,Manitoba,54.76703,-101.87433,5865,P,PPL
sioux-lookout-on,Sioux Lookout,Sioux Lookout,ON,Ontario,50.09906,-91.92158,5839,P,PPL
louiseville-qc,Louiseville,Louiseville,QC,Quebec,46.25594,-72.94145,5819,P,PPL
melfort-sk,Melfort,Melfort,SK,Saskatchewan,52.86673,-104.61768,5778,P,PPL
norway-house-mb,Norway House,Norway House,MB,Manitoba,53.98214,-97.83265,5753,P,PPL
lac-megantic-qc,Lac-Mégantic,Lac-Megantic,QC,Quebec,45.58338,-70.88234,5747,P,PPL
st-paul-ab,St. Paul,St. Paul,AB,Alberta,53.98347,-111.28507,5728,P,PPL
grand-lake-nb,Grand Lake,Grand Lake,NB,New Brunswick,46.11258,-65.95682,5725,P,PPL
vegreville-ab,Vegreville,Vegreville,AB,Alberta,53.50015,-112.05182,5708,P,PPL
north-sydney-ns,North Sydney,North Sydney,NS,Nova Scotia,46.20777,-60.25489,5699,P,PPL
princeville-qc,Princeville,Princeville,QC,Quebec,46.17163,-71.87462,5693,P,PPL
corunna-on,Corunna,Corunna,ON,Ontario,42.88338,-82.43313,5686,P,PPL
la-ronge-sk,La Ronge,La Ronge,SK,Saskatchewan,55.10013,-105.28422,5671,P,PPL
nicolet-qc,Nicolet,Nicolet,QC,Quebec,46.23085,-72.61292,5669,P,PPL
petrolia-on,Petrolia,Petrolia,ON,Ontario,42.882,-82.152,5632,P,PPL
lac-brome-qc,Lac-Brome,Lac-Brome,QC,Quebec,45.21678,-72.51581,5629,P,PPL
